N,n_points,ln_trees,lambda2_computed
4,4,2.7725887222397816,-0.9999999999999997
6,5,4.317488113536311,0.9999999999999996
8,6,5.950642552587728,1.0000000000000002
10,7,7.427738840532894,1.9032119259115525
12,8,9.064157861798103,1.9999999999999993
14,9,10.653393066914685,2.0000000000000013
16,10,12.242250271648764,2.2360679774997902
18,11,13.811309746899669,2.3300587395679826
20,12,15.46108751701425,2.2360679774997902
22,13,17.001560335353386,2.408636968311783
24,14,18.617321785800534,2.4309078368330668
26,15,20.20297960239481,2.51413692933529
28,16,21.79546953490882,2.472833908995269
30,17,23.23038658840139,2.5968831757443125
32,18,24.81541986069002,2.637313952306622
34,19,26.407554904033088,2.6725084398605157
36,20,28.16310931383187,2.60839660411386
38,21,29.75752783147717,2.645794100178595
40,22,31.35442106876613,2.663840251096879
42,23,32.95174084769396,2.6711474408560574
44,24,34.551003953677075,2.6935252022278644
46,25,36.1483536511984,2.702453768967444
48,26,37.750204047361514,2.710596886230557
50,27,39.354071238475456,2.722589137518906
52,28,40.953495783859445,2.720099684446508
54,29,42.553720826226424,2.7668842726580323
56,30,44.15708668949449,2.766032412407776
58,31,45.763492558470595,2.7549486303183963
60,32,47.37423570746458,2.75659825386007
62,33,48.96633378767033,2.781773284197274
64,34,50.57192943266385,2.792712269129939
66,35,52.17478119485958,2.804122397640846
68,36,53.7803054753889,2.805792551627989
70,37,55.39003495928925,2.8136065026483217
72,38,56.98924698605813,2.8096946101970235
74,39,58.60180950951751,2.807725776328605
76,40,60.022195729852406,2.830664919634346
78,41,61.80638264988,2.841221008443318
80,42,63.42117434798035,2.8181550014637216
82,43,65.02658083666873,2.825954626467979
84,44,66.63227136499363,2.8279283190149584
86,45,68.23763755777352,2.838312950794208
88,46,69.84310680009138,2.843636948744176
90,47,71.45105193686834,2.8480900826287683
92,48,73.05490185743481,2.8586838400636303
94,49,74.66538708764976,2.8554593182930628
96,50,76.27237822560235,2.8588546549797287
98,51,77.87877954301682,2.8665956591408808
100,52,79.48685674298363,2.862773660485303
102,53,81.0962971218335,2.8629339767532525
104,54,82.70380726032329,2.869641997895801
106,55,84.31157996200027,2.8743499516977997
108,56,85.91909084283134,2.8785089892654327
110,57,87.52690493245697,2.8782047008136646
112,58,89.13588837240691,2.883163521176674
114,59,90.74554310281064,2.8832382894485713
116,60,92.35571193865715,2.8823141998623676
118,61,93.96622952300994,2.881068549930295
120,62,95.57262039824133,2.886468906854257
122,63,97.18135876091144,2.8918727451474773
124,64,98.79147511053468,2.89187650933912
126,65,100.3963309508667,2.898679031417755
128,66,101.815601221585,2.8929733601307674
130,67,103.4275172548152,2.8949082544757188
132,68,105.03860715145802,2.8975320088429024
134,69,106.83921709293496,2.896226276173874
136,70,108.44990926442767,2.9002214413404994
138,71,110.05749286163096,2.902975687697213
140,72,111.66695799657681,2.90728020950906
142,73,113.27765834057664,2.909000898166094
144,74,114.8859679146918,2.908180476908429
146,75,116.4999678877763,2.9043202053755346
148,76,118.10543158884938,2.910149996295301
150,77,119.71551000182743,2.911555968769545
152,78,121.31941949394596,2.916283161991328
154,79,122.9425684627316,2.9117063342959946
156,80,124.5477310851601,2.9192970558915152
158,81,126.1574210237023,2.9166402195952017
160,82,127.76857342362986,2.9175480499296524
162,83,129.38495832257013,2.9148205102928904
164,84,130.99232820309282,2.921494148521718
166,85,132.60535065071497,2.917429382934807
168,86,134.20842098698608,2.9197880904513105
170,87,135.82377626980855,2.9231492831086543
172,88,137.4361785507647,2.9230089354223994
174,89,139.04374837107244,2.922365313521282
176,90,140.46085177746752,2.929182177191329
178,91,142.25751828512145,2.9282796803786932
180,92,143.8821887566268,2.925855297706781
182,93,145.46549911539597,2.9313475801853026
184,94,147.10514677309803,2.929371008024546
186,95,148.71244237613675,2.931049400825049
188,96,150.31439797588035,2.931056720958785
190,97,151.9300582179208,2.9333051912093886
192,98,153.35020357528225,2.934262850122287
194,99,154.95841904037033,2.929454292127919
196,100,156.74218127093562,2.93432254075926
198,101,158.18910826543805,2.9349217172702073
200,102,159.79994354286364,2.933201424466657
